pub,year,women,men,both
1956,1944,,,
1956,1945,,,
1956,1946,,,
1956,1947,,,
1956,1947,,,
1956,1955,2.63,2.63,2.63
1968,1959,,,2.56
1968,1965,,,2.62
1968,1966,,,2.56
1968,1967,2.5,2.54,2.51
1976,1974,,,2.40
1976,1975,,,2.38
1976,1976,2.50,2.50,2.50
1982,1978,,,2.49
1982,1982,,,2.37
1987,1987,2.36,2.44,2.40
