"year" "d"
"1" 1981 2.62908837063917
"2" 1990 2.17486709163917
"3" 1994 2.07705442563917
"4" 1995 2.13630622963917
"5" 2000 1.94151467863917
"6" 2001 1.93549884363917
"7" 2006 1.89637717163917
"8" 2011 1.81430642763917
