"un_year","un_max","un_min","uk","th_edu","w_pnty","post_edu","gamma","kappa","d","ini_d","diff_d","d_norm"
1972,0.35,0.025,0.15,14,0.4,5,35,0.1,0.05,2.7,0.15,1.6
1978,0.75,0.04,0.27,24,0.7,8,45,0.7,0.09,3,0.3,2
