Ireland, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 20/06/2016
Year    adjTFR
1990     2.236
1991     2.330
1992     2.362
1993     2.253
1994     2.207
1995     2.116
1996     2.137
1997     2.217
1998     2.091
1999     2.093
2000     2.148
2001     2.235
2002     2.328
2003     2.359
2004     2.431
2005     2.272
2006     2.122
2007     2.151
2008     2.187
2009     2.193
2010     2.186
2011     2.085
2012     2.043
2013     2.060
