"un_year","un_max","un_min","uk","th_edu","w_pnty","post_edu","gamma","kappa","d","ini_d","diff_d","d_norm"
1971,0.25,0.005,0.19,14,0.2,3,35,0.1,0.03,2.6,0.14,2.2
1976,0.45,0.045,0.28,24,0.6,4.5,45,0.9,0.09,3,0.2,2.6
