"un_year","un_max","un_min","uk","th_edu","w_pnty","post_edu","gamma","kappa","d","ini_d","diff_d","d_norm"
1972,0.65,0.025,0.1,14,0.4,3,35,0.1,0.05,4.7,0.2,2.3
1980,0.95,0.04,0.27,24,0.7,7,45,0.7,0.09,5.5,0.3,2.8
