"year" "d"
"1" 1979 3.22418724563917
"2" 1981 3.62418724563917
"3" 1988 3.12418724563917
"4" 1990 3.02418724563917
"5" 1994 2.71418724563917
"6" 2001 2.40418724563917
"7" 2006 2.55418724563917
"8" 2011 2.44418724563917
