Ideal family size  Spain - frm Sobotka & Beaujouan,,
,,
1979,3.48,EB+
1981,3.88,EVS
1988,3.38,ISSP
1990,3.28,EVS
1994,2.97,ISSP
2001,2.66,EB
2006,2.81,EB
2011,2.7,EB
